"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","GainTotal []"
10,7,-178,0.6,60,0.0842231419059129
10,7,-178,0.6,62,0.0458113605199311
10,7,-178,0.6,64,0.025613364647425
10,7,-178,0.6,66,0.0354551687720899
10,7,-178,0.6,68,0.0407958433890386
10,7,-178,0.6,70,0.0333777108804512
10,7,-178,0.6,72,0.0336684960033656
10,7,-178,0.6,74,0.047238513978245
10,7,-178,0.6,76,0.0582199420148253
10,7,-178,0.6,78,0.0574758267854096
10,7,-178,0.6,80,0.0667620587754877
10,7,-178,0.6,82,0.111612285814609
10,7,-178,0.6,84,0.168601458360005
10,7,-178,0.6,86,0.18251145361022
10,7,-178,0.6,88,0.147201674996575
10,7,-178,0.6,90,0.12221922684397
10,7,-178,0.6,92,0.147201674996576
10,7,-178,0.6,94,0.182511453610222
10,7,-178,0.6,96,0.168601458360007
10,7,-178,0.6,98,0.111612285814608
10,7,-178,0.6,100,0.0667620587754865
10,7,-178,0.6,102,0.05747582678541
10,7,-178,0.6,104,0.0582199420148261
10,7,-178,0.6,106,0.0472385139782457
10,7,-178,0.6,108,0.0336684960033661
10,7,-178,0.6,110,0.033377710880452
10,7,-178,0.6,112,0.0407958433890388
10,7,-178,0.6,114,0.0354551687720897
10,7,-178,0.6,116,0.0256133646474251
10,7,-178,0.6,118,0.0458113605199318
10,7,-178,0.6,120,0.0842231419059125
10,7,-178,0.6,122,0.0965974151865832
10,7,-178,0.6,124,0.085938511941146
10,7,-178,0.6,126,0.0899955596318786
10,7,-178,0.6,128,0.123610378143408
10,7,-178,0.6,130,0.150068528813186
10,7,-178,0.6,132,0.140488882866251
10,7,-178,0.6,134,0.132974987750207
10,7,-178,0.6,136,0.165558256908649
10,7,-178,0.6,138,0.193001081364278
10,7,-178,0.6,140,0.166648998976382
10,7,-178,0.6,142,0.1415419371542
10,7,-178,0.6,144,0.177263303386018
10,7,-178,0.6,146,0.238681866446518
10,7,-178,0.6,148,0.243574512128372
10,7,-178,0.6,150,0.207160004624278
10,7,-178,0.6,152,0.214650866976429
10,7,-178,0.6,154,0.260307927395807
10,7,-178,0.6,156,0.282538582372714
10,7,-178,0.6,158,0.275635477696585
10,7,-178,0.6,160,0.288865534858148
10,7,-178,0.6,162,0.332493309651551
10,7,-178,0.6,164,0.362876020882778
10,7,-178,0.6,166,0.366037180883851
10,7,-178,0.6,168,0.416249478135063
10,7,-178,0.6,170,0.482261276254795
10,7,-178,0.6,172,0.541215482358475
10,7,-178,0.6,174,0.387955480684732
10,7,-178,0.6,176,0.377870877616455
10,7,-178,0.6,178,0.364388831632291
10,7,-178,0.6,180,0.230763556206448
10,10,-178,0.6,0,0.90075336126111
10,10,-178,0.6,2,0.685733281923384
10,10,-178,0.6,4,0.584968666103496
10,10,-178,0.6,6,0.759037674694815
10,10,-178,0.6,8,0.366242068577872
10,10,-178,0.6,10,0.365001252887093
10,10,-178,0.6,12,0.564803272294711
10,10,-178,0.6,14,0.31850444516557
10,10,-178,0.6,16,0.331334990376817
10,10,-178,0.6,18,0.380124079869703
10,10,-178,0.6,20,0.247538302819062
10,10,-178,0.6,22,0.259659674584623
10,10,-178,0.6,24,0.226686056214973
10,10,-178,0.6,26,0.224507261332037
10,10,-178,0.6,28,0.255989440422061
10,10,-178,0.6,30,0.170897255918025
10,10,-178,0.6,32,0.153842591868751
10,10,-178,0.6,34,0.187241055813668
10,10,-178,0.6,36,0.16885785673016
10,10,-178,0.6,38,0.150459297765178
10,10,-178,0.6,40,0.123886483529016
10,10,-178,0.6,42,0.125432404765969
10,10,-178,0.6,44,0.176128708149617
10,10,-178,0.6,46,0.13811832422313
