"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","dB(DirTotal) []"
10,5,0,0.6,33.3,-5.91604866792861
10,5,0,0.6,33.4,-5.8996529054307
10,5,0,0.6,33.5,-5.8843852983317
10,5,0,0.6,33.6,-5.87030855015882
10,5,0,0.6,33.7,-5.8574822814387
10,5,0,0.6,33.8,-5.8459629402137
10,5,0,0.6,33.9,-5.83580372039724
10,5,0,0.6,34,-5.82705448743156
10,5,0,0.6,34.1,-5.81976171070074
10,5,0,0.6,34.2,-5.81396840215158
10,5,0,0.6,34.3,-5.8097140605811
10,5,0,0.6,34.4,-5.80703462106462
10,5,0,0.6,34.5,-5.80596240901987
10,5,0,0.6,34.6,-5.80652609843098
10,5,0,0.6,34.7,-5.80875067379106
10,5,0,0.6,34.8,-5.81265739536197
10,5,0,0.6,34.9,-5.81826376739605
10,5,0,0.6,35,-5.82558350901414
10,5,0,0.6,35.1,-5.83462652749
10,5,0,0.6,35.2,-5.84539889374955
10,5,0,0.6,35.3,-5.85790281995641
10,5,0,0.6,35.4,-5.87213663912153
10,5,0,0.6,35.5,-5.88809478674372
10,5,0,0.6,35.6,-5.90576778456071
10,5,0,0.6,35.7,-5.92514222656462
10,5,0,0.6,35.8,-5.94620076751294
10,5,0,0.6,35.9,-5.96892211424528
10,5,0,0.6,36,-5.99328102019541
10,5,0,0.6,36.1,-6.01924828357024
10,5,0,0.6,36.2,-6.04679074974787
10,5,0,0.6,36.3,-6.07587131852786
10,5,0,0.6,36.4,-6.10644895694668
10,5,0,0.6,36.5,-6.13847871844793
10,5,0,0.6,36.6,-6.1719117692713
10,5,0,0.6,36.7,-6.20669542299279
10,5,0,0.6,36.8,-6.24277318421195
10,5,0,0.6,36.9,-6.2800848024367
10,5,0,0.6,37,-6.31856633726175
10,5,0,0.6,37.1,-6.35815023597007
10,5,0,0.6,37.2,-6.39876542470714
10,5,0,0.6,37.3,-6.44033741438119
10,5,0,0.6,37.4,-6.48278842242825
10,5,0,0.6,37.5,-6.52603751154579
10,5,0,0.6,37.6,-6.57000074643985
10,5,0,0.6,37.7,-6.61459136954821
10,5,0,0.6,37.8,-6.65971999659002
10,5,0,0.6,37.9,-6.70529483265427
10,5,0,0.6,38,-6.75122190936887
10,5,0,0.6,38.1,-6.79740534349192
10,5,0,0.6,38.2,-6.84374761703601
10,5,0,0.6,38.3,-6.89014987877408
10,5,0,0.6,38.4,-6.93651226668664
10,5,0,0.6,38.5,-6.98273425059392
10,5,0,0.6,38.6,-7.02871499387947
10,5,0,0.6,38.7,-7.07435373285658
10,5,0,0.6,38.8,-7.11955017196365
10,5,0,0.6,38.9,-7.16420489260417
10,5,0,0.6,39,-7.20821977308166
10,5,0,0.6,39.1,-7.25149841672647
10,5,0,0.6,39.2,-7.29394658498151
10,5,0,0.6,39.3,-7.33547263191588
10,5,0,0.6,39.4,-7.37598793637975
10,5,0,0.6,39.5,-7.41540732781116
10,5,0,0.6,39.6,-7.45364950156321
10,5,0,0.6,39.7,-7.49063741954732
10,5,0,0.6,39.8,-7.52629869199061
10,5,0,0.6,39.9,-7.56056593618877
10,5,0,0.6,40,-7.59337710830038
10,5,0,0.6,40.1,-7.62467580447621
10,5,0,0.6,40.2,-7.65441152794433
10,5,0,0.6,40.3,-7.68253991907348
10,5,0,0.6,40.4,-7.70902294590469
10,5,0,0.6,40.5,-7.7338290531671
10,5,0,0.6,40.6,-7.75693326836182
10,5,0,0.6,40.7,-7.77831726409797
10,5,0,0.6,40.8,-7.79796937648048
10,5,0,0.6,40.9,-7.81588457996465
10,5,0,0.6,41,-7.83206441969347
10,5,0,0.6,41.1,-7.84651690290412
10,5,0,0.6,41.2,-7.85925635151782
10,5,0,0.6,41.3,-7.87030321849886
10,5,0,0.6,41.4,-7.87968387097601
10,5,0,0.6,41.5,-7.88743034345261
10,5,0,0.6,41.6,-7.89358006468903
10,5,0,0.6,41.7,-7.8981755620167
10,5,0,0.6,41.8,-7.90126414693963
10,5,0,0.6,41.9,-7.90289758589816
10,5,0,0.6,42,-7.90313176001581
10,5,0,0.6,42.1,-7.90202631753034
10,5,0,0.6,42.2,-7.89964432243131
10,5,0,0.6,42.3,-7.89605190259861
10,5,0,0.6,42.4,-7.89131790046845
10,5,0,0.6,42.5,-7.88551352895485
10,5,0,0.6,42.6,-7.87871203503577
10,5,0,0.6,42.7,-7.87098837308259
10,5,0,0.6,42.8,-7.86241888967799
10,5,0,0.6,42.9,-7.85308102133862
10,5,0,0.6,43,-7.8430530062411
10,5,0,0.6,43.1,-7.83241361074866
10,5,0,0.6,43.2,-7.82124187125618
10,5,0,0.6,43.3,-7.80961685161512
10,5,0,0.6,43.4,-7.79761741617057
10,5,0,0.6,43.5,-7.78532201824128
10,5,0,0.6,43.6,-7.77280850369937
10,5,0,0.6,43.7,-7.76015392916081
10,5,0,0.6,43.8,-7.74743439417775
10,5,0,0.6,43.9,-7.73472488673024
10,5,0,0.6,44,-7.72209914124293
10,5,0,0.6,44.1,-7.70962950830314
10,5,0,0.6,44.2,-7.69738683522499
10,5,0,0.6,44.3,-7.68544035659046
10,5,0,0.6,44.4,-7.67385759389711
10,5,0,0.6,44.5,-7.66270426345471
10,5,0,0.6,44.6,-7.65204419169365
10,5,0,0.6,44.7,-7.64193923707842
10,5,0,0.6,44.8,-7.63244921785394
10,5,0,0.6,44.9,-7.62363184489348
10,5,0,0.6,45,-7.61554265895973
10,5,0,0.6,45.1,-7.60823497173612
10,5,0,0.6,45.2,-7.60175981003182
10,5,0,0.6,45.3,-7.59616586261081
10,5,0,0.6,45.4,-7.59149942914184
10,5,0,0.6,45.5,-7.58780437081217
10,5,0,0.6,45.6,-7.58512206219294
10,5,0,0.6,45.7,-7.58349134398831
10,5,0,0.6,45.8,-7.58294847634311
10,5,0,0.6,45.9,-7.58352709242677
10,5,0,0.6,46,-7.58525815205158
10,5,0,0.6,46.1,-7.58816989512539
10,5,0,0.6,46.2,-7.59228779477906
10,5,0,0.6,46.3,-7.5976345100499
10,5,0,0.6,46.4,-7.60422983804452
10,5,0,0.6,46.5,-7.61209066554623
10,5,0,0.6,46.6,-7.6212309200768
10,5,0,0.6,46.7,-7.63166152046774
10,5,0,0.6,46.8,-7.64339032704422
10,5,0,0.6,46.9,-7.65642209157556
10,5,0,0.6,47,-7.67075840719949
10,5,0,0.6,47.1,-7.68639765858414
10,5,0,0.6,47.2,-7.70333497265201
10,5,0,0.6,47.3,-7.72156217025403
10,5,0,0.6,47.4,-7.74106771924955
10,5,0,0.6,47.5,-7.76183668951925
10,5,0,0.6,47.6,-7.78385071051329
10,5,0,0.6,47.7,-7.80708793201516
10,5,0,0.6,47.8,-7.83152298888299
10,5,0,0.6,47.9,-7.85712697061356
10,5,0,0.6,48,-7.88386739665946
10,5,0,0.6,48.1,-7.9117081985149
10,5,0,0.6,48.2,-7.9406097096706
10,5,0,0.6,48.3,-7.97052866461974
10,5,0,0.6,48.4,-8.00141820817516
10,5,0,0.6,48.5,-8.03322791642893
10,5,0,0.6,48.6,-8.06590383074755
10,5,0,0.6,48.7,-8.09938850624714
10,5,0,0.6,48.8,-8.13362107622812
10,5,0,0.6,48.9,-8.1685373340674
10,5,0,0.6,49,-8.20406983406169
10,5,0,0.6,49.1,-8.24014801268758
10,5,0,0.6,49.2,-8.27669833168525
10,5,0,0.6,49.3,-8.31364444428417
10,5,0,0.6,49.4,-8.35090738576153
10,5,0,0.6,49.5,-8.38840578936074
10,5,0,0.6,49.6,-8.4260561283901
10,5,0,0.6,49.7,-8.46377298507279
10,5,0,0.6,49.8,-8.50146934642444
10,5,0,0.6,49.9,-8.53905692709766
10,5,0,0.6,50,-8.57644651875107
10,5,0,0.6,50.1,-8.61354836508132
10,5,0,0.6,50.2,-8.65027256120063
10,5,0,0.6,50.3,-8.68652947555941
10,5,0,0.6,50.4,-8.72223019211039
10,5,0,0.6,50.5,-8.7572869698968
10,5,0,0.6,50.6,-8.79161371673588
10,5,0,0.6,50.7,-8.82512647317377
10,5,0,0.6,50.8,-8.85774390242017
10,5,0,0.6,50.9,-8.88938778155124
10,5,0,0.6,51,-8.91998348890785
10,5,0,0.6,51.1,-8.94946048233223
10,5,0,0.6,51.2,-8.97775276269048
10,5,0,0.6,51.3,-9.00479931703675
10,5,0,0.6,51.4,-9.0305445357954
10,5,0,0.6,51.5,-9.05493859847633
10,5,0,0.6,51.6,-9.07793782270384
10,5,0,0.6,51.7,-9.0995049717234
10,5,0,0.6,51.8,-9.11960951605743
10,5,0,0.6,51.9,-9.13822784559328
10,5,0,0.6,52,-9.15534342909783
10,5,0,0.6,52.1,-9.17094691894282
10,5,0,0.6,52.2,-9.18503619967477
10,5,0,0.6,52.3,-9.19761637995003
10,5,0,0.6,52.4,-9.20869972825636
10,5,0,0.6,52.5,-9.21830555373182
10,5,0,0.6,52.6,-9.22646003424622
10,5,0,0.6,52.7,-9.23319599470712
10,5,0,0.6,52.8,-9.23855263927208
10,5,0,0.6,52.9,-9.24257524177187
10,5,0,0.6,53,-9.24531479916603
10,5,0,0.6,53.1,-9.24682765324908
10,5,0,0.6,53.2,-9.24717508610055
10,5,0,0.6,53.3,-9.24642289492317
10,5,0,0.6,53.4,-9.24464095194278
10,5,0,0.6,53.5,-9.24190275496034
10,5,0,0.6,53.6,-9.23828497395726
10,5,0,0.6,53.7,-9.23386699887561
10,5,0,0.6,53.8,-9.22873049333559
10,5,0,0.6,53.9,-9.22295895863244
10,5,0,0.6,54,-9.21663731188515
10,5,0,0.6,54.1,-9.20985148170983
10,5,0,0.6,54.2,-9.20268802427154
10,5,0,0.6,54.3,-9.1952337620477
10,5,0,0.6,54.4,-9.18757544712132
10,5,0,0.6,54.5,-9.17979945032823
10,5,0,0.6,54.6,-9.1719914771141
10,5,0,0.6,54.7,-9.16423631052291
10,5,0,0.6,54.8,-9.15661758134333
10,5,0,0.6,54.9,-9.14921756508638
10,5,0,0.6,55,-9.1421170051577
10,5,0,0.6,55.1,-9.13539496132292
10,5,0,0.6,55.2,-9.12912868234177
10,5,0,0.6,55.3,-9.12339350146637
10,5,0,0.6,55.4,-9.11826275335749
10,5,0,0.6,55.5,-9.11380771086626
10,5,0,0.6,55.6,-9.11009754005701
10,5,0,0.6,55.7,-9.10719927180155
10,5,0,0.6,55.8,-9.10517778825728
10,5,0,0.6,55.9,-9.10409582254456
10,5,0,0.6,56,-9.10401396995874
10,5,0,0.6,56.1,-9.10499070908919
10,5,0,0.6,56.2,-9.10708243126404
10,5,0,0.6,56.3,-9.1103434767959
10,5,0,0.6,56.4,-9.11482617656586
10,5,0,0.6,56.5,-9.12058089754909
10,5,0,0.6,56.6,-9.12765609095337
10,5,0,0.6,56.7,-9.13609834170984
10,5,0,0.6,56.8,-9.14595241812212
10,5,0,0.6,56.9,-9.15726132054351
10,5,0,0.6,57,-9.17006632801307
10,5,0,0.6,57.1,-9.18440704183664
10,5,0,0.6,57.2,-9.20032142515007
10,5,0,0.6,57.3,-9.21784583754639
10,5,0,0.6,57.4,-9.23701506388849
10,5,0,0.6,57.5,-9.25786233646061
10,5,0,0.6,57.6,-9.28041934963825
10,5,0,0.6,57.7,-9.30471626627604
10,5,0,0.6,57.8,-9.33078171502523
10,5,0,0.6,57.9,-9.35864277779882
10,5,0,0.6,58,-9.38832496660232
10,5,0,0.6,58.1,-9.4198521889419
10,5,0,0.6,58.2,-9.45324670100822
10,5,0,0.6,58.3,-9.48852904781801
10,5,0,0.6,58.4,-9.52571798947094
10,5,0,0.6,58.5,-9.56483041265319
10,5,0,0.6,58.6,-9.60588122648792
10,5,0,0.6,58.7,-9.64888324179929
10,5,0,0.6,58.8,-9.69384703282214
10,5,0,0.6,58.9,-9.74078078035516
10,5,0,0.6,59,-9.78969009532257
10,5,0,0.6,59.1,-9.84057782168106
10,5,0,0.6,59.2,-9.89344381758806
10,5,0,0.6,59.3,-9.94828471373593
10,5,0,0.6,59.4,-10.0050936477606
10,5,0,0.6,59.5,-10.063859973655
10,5,0,0.6,59.6,-10.1245689451641
10,5,0,0.6,59.7,-10.1872013722169
10,5,0,0.6,59.8,-10.2517332495661
10,5,0,0.6,59.9,-10.3181353569694
10,5,0,0.6,60,-10.3863728304678
10,5,0,0.6,60.1,-10.4564047046065
10,5,0,0.6,60.2,-10.5281834258117
10,5,0,0.6,60.3,-10.6016543376093
10,5,0,0.6,60.4,-10.676755138943
10,5,0,0.6,60.5,-10.7534153175592
10,5,0,0.6,60.6,-10.8315555612742
