"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","DirTotal []"
10,7,-180,0.6,180,0.226494862557509
10,10,-180,0.6,0,0.885613767282109
10,10,-180,0.6,2,0.691844415931357
10,10,-180,0.6,4,0.600045589564432
10,10,-180,0.6,6,0.746266343961199
10,10,-180,0.6,8,0.351709361749689
10,10,-180,0.6,10,0.366050614580008
10,10,-180,0.6,12,0.562750699299536
10,10,-180,0.6,14,0.313504791692644
10,10,-180,0.6,16,0.331609274382956
10,10,-180,0.6,18,0.375320335586135
10,10,-180,0.6,20,0.244861044893915
10,10,-180,0.6,22,0.251890919359015
10,10,-180,0.6,24,0.217689035498939
10,10,-180,0.6,26,0.231074618100577
10,10,-180,0.6,28,0.257835352517784
10,10,-180,0.6,30,0.165020291979297
10,10,-180,0.6,32,0.152562161273067
10,10,-180,0.6,34,0.17660440477405
10,10,-180,0.6,36,0.158586543281159
10,10,-180,0.6,38,0.155034469271044
10,10,-180,0.6,40,0.117919212171325
10,10,-180,0.6,42,0.115164764554459
10,10,-180,0.6,44,0.178156657378328
10,10,-180,0.6,46,0.140814357960965
10,10,-180,0.6,48,0.103033779166383
10,10,-180,0.6,50,0.141936730038207
10,10,-180,0.6,52,0.143567084576404
10,10,-180,0.6,54,0.0956393222434637
10,10,-180,0.6,56,0.101433214149349
10,10,-180,0.6,58,0.0644763268644426
10,10,-180,0.6,60,0.0375762860740579
10,10,-180,0.6,62,0.0522471100644857
10,10,-180,0.6,64,0.0439114650349123
10,10,-180,0.6,66,0.0111717925481247
10,10,-180,0.6,68,0.0325459574478228
10,10,-180,0.6,70,0.0400589398661222
10,10,-180,0.6,72,0.0521031443094644
10,10,-180,0.6,74,0.0765057854736297
10,10,-180,0.6,76,0.0396561133660642
10,10,-180,0.6,78,0.0523828216527085
10,10,-180,0.6,80,0.139673135913389
10,10,-180,0.6,82,0.140453304031301
10,10,-180,0.6,84,0.134068427454197
10,10,-180,0.6,86,0.198336534788337
10,10,-180,0.6,88,0.187585274841629
10,10,-180,0.6,90,0.141209514074975
10,10,-180,0.6,92,0.187585274841629
10,10,-180,0.6,94,0.198336534788337
10,10,-180,0.6,96,0.134068427454199
10,10,-180,0.6,98,0.140453304031306
10,10,-180,0.6,100,0.139673135913388
10,10,-180,0.6,102,0.0523828216527061
10,10,-180,0.6,104,0.0396561133660622
10,10,-180,0.6,106,0.076505785473629
10,10,-180,0.6,108,0.0521031443094654
10,10,-180,0.6,110,0.0400589398661228
10,10,-180,0.6,112,0.0325459574478227
10,10,-180,0.6,114,0.0111717925481249
10,10,-180,0.6,116,0.0439114650349124
10,10,-180,0.6,118,0.0522471100644853
10,10,-180,0.6,120,0.0375762860740583
10,10,-180,0.6,122,0.0644763268644431
10,10,-180,0.6,124,0.101433214149348
10,10,-180,0.6,126,0.0956393222434637
10,10,-180,0.6,128,0.143567084576404
10,10,-180,0.6,130,0.141936730038207
10,10,-180,0.6,132,0.103033779166384
10,10,-180,0.6,134,0.140814357960968
10,10,-180,0.6,136,0.178156657378327
10,10,-180,0.6,138,0.11516476455446
10,10,-180,0.6,140,0.117919212171324
10,10,-180,0.6,142,0.155034469271041
10,10,-180,0.6,144,0.158586543281158
10,10,-180,0.6,146,0.176604404774048
10,10,-180,0.6,148,0.152562161273067
10,10,-180,0.6,150,0.165020291979297
10,10,-180,0.6,152,0.257835352517783
10,10,-180,0.6,154,0.231074618100577
10,10,-180,0.6,156,0.217689035498941
10,10,-180,0.6,158,0.251890919359014
10,10,-180,0.6,160,0.244861044893913
10,10,-180,0.6,162,0.375320335586133
10,10,-180,0.6,164,0.331609274382955
10,10,-180,0.6,166,0.313504791692644
10,10,-180,0.6,168,0.562750699299536
10,10,-180,0.6,170,0.366050614580007
10,10,-180,0.6,172,0.351709361749691
10,10,-180,0.6,174,0.746266343961199
10,10,-180,0.6,176,0.600045589564432
10,10,-180,0.6,178,0.691844415931352
10,10,-180,0.6,180,0.885613767282108
10,5,-178,0.6,0,0.389581501150344
10,5,-178,0.6,2,0.382428465311547
10,5,-178,0.6,4,0.333612493599143
10,5,-178,0.6,6,0.256761168511621
10,5,-178,0.6,8,0.303243400293219
10,5,-178,0.6,10,0.479939398476198
10,5,-178,0.6,12,0.567021867895433
10,5,-178,0.6,14,0.479352252029797
10,5,-178,0.6,16,0.346886179252592
10,5,-178,0.6,18,0.274694306573561
