"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","dB(DirTotal) []"
10,5,90,0.6,28.1,-3.65485382073069
10,5,90,0.6,28.2,-3.66726266708991
10,5,90,0.6,28.3,-3.68233381068921
10,5,90,0.6,28.4,-3.70010008313546
10,5,90,0.6,28.5,-3.72059070255305
10,5,90,0.6,28.6,-3.74383128181449
10,5,90,0.6,28.7,-3.76984381560348
10,5,90,0.6,28.8,-3.79864664506941
10,5,90,0.6,28.9,-3.83025439880753
10,5,90,0.6,29,-3.86467790886263
10,5,90,0.6,29.1,-3.90192410041018
10,5,90,0.6,29.2,-3.94199585372129
10,5,90,0.6,29.3,-3.98489183696906
10,5,90,0.6,29.4,-4.03060630838908
10,5,90,0.6,29.5,-4.07912888627319
10,5,90,0.6,29.6,-4.13044428525494
10,5,90,0.6,29.7,-4.18453201735023
10,5,90,0.6,29.8,-4.24136605625263
10,5,90,0.6,29.9,-4.30091446345883
10,5,90,0.6,30,-4.36313897493418
10,5,90,0.6,30.1,-4.4279945472256
10,5,90,0.6,30.2,-4.49542886221424
10,5,90,0.6,30.3,-4.56538179008656
10,5,90,0.6,30.4,-4.63778481061138
10,5,90,0.6,30.5,-4.71256039346912
10,5,90,0.6,30.6,-4.7896213392075
10,5,90,0.6,30.7,-4.86887008342824
10,5,90,0.6,30.8,-4.95019796807082
10,5,90,0.6,30.9,-5.03348448517512
10,5,90,0.6,31,-5.11859650031369
10,5,90,0.6,31.1,-5.20538746500197
10,5,90,0.6,31.2,-5.29369662984351
10,5,90,0.6,31.3,-5.3833482729602
10,5,90,0.6,31.4,-5.47415096138099
10,5,90,0.6,31.5,-5.56589686649987
10,5,90,0.6,31.6,-5.65836115840827
10,5,90,0.6,31.7,-5.75130150777425
10,5,90,0.6,31.8,-5.84445772785523
10,5,90,0.6,31.9,-5.93755159301545
10,5,90,0.6,32,-6.03028687354295
10,5,90,0.6,32.1,-6.12234962933358
10,5,90,0.6,32.2,-6.21340880678324
10,5,90,0.6,32.3,-6.30311718360022
10,5,90,0.6,32.4,-6.39111270477592
10,5,90,0.6,32.5,-6.47702024918104
10,5,90,0.6,32.6,-6.56045385974488
10,5,90,0.6,32.7,-6.64101946056679
10,5,90,0.6,32.8,-6.71831807135201
10,5,90,0.6,32.9,-6.79194951321694
10,5,90,0.6,33,-6.86151658037483
10,5,90,0.6,33.1,-6.9266296300212
10,5,90,0.6,33.2,-6.98691151877187
10,5,90,0.6,33.3,-7.04200278951208
10,5,90,0.6,33.4,-7.09156698907092
10,5,90,0.6,33.5,-7.13529597656103
10,5,90,0.6,33.6,-7.17291506643507
10,5,90,0.6,33.7,-7.20418784114542
10,5,90,0.6,33.8,-7.22892046727454
10,5,90,0.6,33.9,-7.24696535715462
10,5,90,0.6,34,-7.2582240356112
10,5,90,0.6,34.1,-7.26264909804791
10,5,90,0.6,34.2,-7.2602451802727
10,5,90,0.6,34.3,-7.25106890013994
10,5,90,0.6,34.4,-7.23522777356063
10,5,90,0.6,34.5,-7.21287814972806
10,5,90,0.6,34.6,-7.18422224956213
10,5,90,0.6,34.7,-7.14950442475378
10,5,90,0.6,34.8,-7.1090067803622
10,5,90,0.6,34.9,-7.06304432042411
10,5,90,0.6,35,-7.01195978306167
10,5,90,0.6,35.1,-6.95611832952844
10,5,90,0.6,35.2,-6.89590224159178
10,5,90,0.6,35.3,-6.83170576519441
10,5,90,0.6,35.4,-6.76393021732411
10,5,90,0.6,35.5,-6.69297944935873
10,5,90,0.6,35.6,-6.61925573564529
10,5,90,0.6,35.7,-6.5431561322602
10,5,90,0.6,35.8,-6.46506932897785
10,5,90,0.6,35.9,-6.38537299830232
10,5,90,0.6,36,-6.30443162946329
10,5,90,0.6,36.1,-6.22259482272655
10,5,90,0.6,36.2,-6.14019601014292
10,5,90,0.6,36.3,-6.05755156269561
10,5,90,0.6,36.4,-5.97496024033045
10,5,90,0.6,36.5,-5.89270294012183
10,5,90,0.6,36.6,-5.81104269838622
10,5,90,0.6,36.7,-5.73022490446528
10,5,90,0.6,36.8,-5.65047768676756
10,5,90,0.6,36.9,-5.57201243513486
10,5,90,0.6,37,-5.49502442741068
10,5,90,0.6,37.1,-5.4196935319996
10,5,90,0.6,37.2,-5.34618496205871
10,5,90,0.6,37.3,-5.27465006062521
10,5,90,0.6,37.4,-5.20522709938261
10,5,90,0.6,37.5,-5.13804207684991
10,5,90,0.6,37.6,-5.07320950452373
10,5,90,0.6,37.7,-5.01083317190545
10,5,90,0.6,37.8,-4.95100688342214
10,5,90,0.6,37.9,-4.89381516200946
10,5,90,0.6,38,-4.83933391560479
10,5,90,0.6,38.1,-4.78763106401785
10,5,90,0.6,38.2,-4.73876712464038
10,5,90,0.6,38.3,-4.69279575625027
10,5,90,0.6,38.4,-4.64976426078757
10,5,90,0.6,38.5,-4.60971404345898
10,5,90,0.6,38.6,-4.57268103187873
10,5,90,0.6,38.7,-4.53869605520585
10,5,90,0.6,38.8,-4.50778518440451
10,5,90,0.6,38.9,-4.47997003484995
10,5,90,0.6,39,-4.45526803254453
10,5,90,0.6,39.1,-4.43369264520537
10,5,90,0.6,39.2,-4.4152535794471
10,5,90,0.6,39.3,-4.39995694521908
10,5,90,0.6,39.4,-4.38780538857427
10,5,90,0.6,39.5,-4.37879819374829
10,5,90,0.6,39.6,-4.37293135542385
10,5,90,0.6,39.7,-4.37019762194391
10,5,90,0.6,39.8,-4.37058651012981
10,5,90,0.6,39.9,-4.3740842922514
10,5,90,0.6,40,-4.38067395559712
10,5,90,0.6,40.1,-4.39033513500118
10,5,90,0.6,40.2,-4.40304401860497
10,5,90,0.6,40.3,-4.41877322706968
10,5,90,0.6,40.4,-4.43749166641192
10,5,90,0.6,40.5,-4.45916435461566
10,5,90,0.6,40.6,-4.48375222218088
10,5,90,0.6,40.7,-4.51121188681019
10,5,90,0.6,40.8,-4.54149540251206
10,5,90,0.6,40.9,-4.57454998352227
10,5,90,0.6,41,-4.61031770361582
