"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","dB(GainTotal) []"
10,5,-178,0.6,54,-9.34846525536538
10,5,-178,0.6,56,-9.22759168193565
10,5,-178,0.6,58,-9.43501234122317
10,5,-178,0.6,60,-10.317754556883
10,5,-178,0.6,62,-11.79417122069
10,5,-178,0.6,64,-12.8608922363944
10,5,-178,0.6,66,-12.3267657298848
10,5,-178,0.6,68,-11.1990244195126
10,5,-178,0.6,70,-10.7292394070654
10,5,-178,0.6,72,-11.2344383586306
10,5,-178,0.6,74,-12.4889527463974
10,5,-178,0.6,76,-13.2840568781871
10,5,-178,0.6,78,-12.0131549661861
10,5,-178,0.6,80,-9.75649087359459
10,5,-178,0.6,82,-7.92010260003958
10,5,-178,0.6,84,-6.77099133076798
10,5,-178,0.6,86,-6.18750383341271
10,5,-178,0.6,88,-5.96612666377561
10,5,-178,0.6,90,-5.91888506382201
10,5,-178,0.6,92,-5.96612666377565
10,5,-178,0.6,94,-6.18750383341272
10,5,-178,0.6,96,-6.77099133076799
10,5,-178,0.6,98,-7.92010260003955
10,5,-178,0.6,100,-9.75649087359454
10,5,-178,0.6,102,-12.0131549661861
10,5,-178,0.6,104,-13.2840568781872
10,5,-178,0.6,106,-12.4889527463975
10,5,-178,0.6,108,-11.2344383586305
10,5,-178,0.6,110,-10.7292394070654
10,5,-178,0.6,112,-11.1990244195126
10,5,-178,0.6,114,-12.3267657298847
10,5,-178,0.6,116,-12.8608922363944
10,5,-178,0.6,118,-11.7941712206899
10,5,-178,0.6,120,-10.3177545568831
10,5,-178,0.6,122,-9.43501234122318
10,5,-178,0.6,124,-9.22759168193567
10,5,-178,0.6,126,-9.34846525536536
10,5,-178,0.6,128,-9.22355367655534
10,5,-178,0.6,130,-8.61129238082827
10,5,-178,0.6,132,-7.96182299132572
10,5,-178,0.6,134,-7.7189082411599
10,5,-178,0.6,136,-7.84870205278042
10,5,-178,0.6,138,-7.92737375576923
10,5,-178,0.6,140,-7.50566986431889
10,5,-178,0.6,142,-6.65107143778669
10,5,-178,0.6,144,-5.95156679576043
10,5,-178,0.6,146,-5.85386349351154
10,5,-178,0.6,148,-6.26214171144759
10,5,-178,0.6,150,-6.591829458605
10,5,-178,0.6,152,-6.29305641454886
10,5,-178,0.6,154,-5.47315178733603
10,5,-178,0.6,156,-4.81469388510576
10,5,-178,0.6,158,-4.87065875423551
10,5,-178,0.6,160,-5.45392344575154
10,5,-178,0.6,162,-5.53603866386379
10,5,-178,0.6,164,-4.52266527644864
10,5,-178,0.6,166,-3.11798752477941
10,5,-178,0.6,168,-2.38853716218831
10,5,-178,0.6,170,-3.11267121678384
10,5,-178,0.6,172,-5.10662166760706
10,5,-178,0.6,174,-5.82924181058717
10,5,-178,0.6,176,-4.69211218182445
10,5,-178,0.6,178,-4.09903313871556
10,5,-178,0.6,180,-4.01855197835603
10,7,-178,0.6,0,-6.3683277692079
10,7,-178,0.6,2,-4.38434942442174
10,7,-178,0.6,4,-4.22656577725317
10,7,-178,0.6,6,-4.11218108432259
10,7,-178,0.6,8,-2.66629788189201
10,7,-178,0.6,10,-3.167176088723
10,7,-178,0.6,12,-3.80646297973801
10,7,-178,0.6,14,-4.36474798123189
10,7,-178,0.6,16,-4.40241729353495
10,7,-178,0.6,18,-4.78217089039512
10,7,-178,0.6,20,-5.39304271633898
10,7,-178,0.6,22,-5.59664884093041
10,7,-178,0.6,24,-5.48922238225281
10,7,-178,0.6,26,-5.84512605721611
10,7,-178,0.6,28,-6.68267353062395
10,7,-178,0.6,30,-6.83694087959713
10,7,-178,0.6,32,-6.13368158654644
10,7,-178,0.6,34,-6.22180574714926
10,7,-178,0.6,36,-7.51381161671935
10,7,-178,0.6,38,-8.49114864901297
10,7,-178,0.6,40,-7.78197290706361
10,7,-178,0.6,42,-7.14440257680189
10,7,-178,0.6,44,-7.81049154746157
10,7,-178,0.6,46,-8.76230041015041
10,7,-178,0.6,48,-8.52358040889615
10,7,-178,0.6,50,-8.23710375017354
10,7,-178,0.6,52,-9.07945064997997
10,7,-178,0.6,54,-10.4577891806008
10,7,-178,0.6,56,-10.6581217056536
10,7,-178,0.6,58,-10.1503449454954
10,7,-178,0.6,60,-10.745685614559
10,7,-178,0.6,62,-13.3902681022076
10,7,-178,0.6,64,-15.9153336757495
10,7,-178,0.6,66,-14.5032044297558
10,7,-178,0.6,68,-13.8938408409553
10,7,-178,0.6,70,-14.7654345154168
10,7,-178,0.6,72,-14.7277628343454
10,7,-178,0.6,74,-13.2570377281125
10,7,-178,0.6,76,-12.3492823144022
10,7,-178,0.6,78,-12.4051477272056
10,7,-178,0.6,80,-11.7547027922695
10,7,-178,0.6,82,-9.52287997443099
10,7,-178,0.6,84,-7.73138673157518
10,7,-178,0.6,86,-7.38709875954726
10,7,-178,0.6,88,-8.32087248166787
10,7,-178,0.6,90,-9.1286046794445
10,7,-178,0.6,92,-8.32087248166784
10,7,-178,0.6,94,-7.38709875954721
10,7,-178,0.6,96,-7.73138673157513
10,7,-178,0.6,98,-9.52287997443105
10,7,-178,0.6,100,-11.7547027922696
10,7,-178,0.6,102,-12.4051477272056
10,7,-178,0.6,104,-12.3492823144021
10,7,-178,0.6,106,-13.2570377281125
10,7,-178,0.6,108,-14.7277628343453
10,7,-178,0.6,110,-14.7654345154167
10,7,-178,0.6,112,-13.8938408409553
10,7,-178,0.6,114,-14.5032044297559
10,7,-178,0.6,116,-15.9153336757495
10,7,-178,0.6,118,-13.3902681022075
10,7,-178,0.6,120,-10.745685614559
10,7,-178,0.6,122,-10.1503449454955
10,7,-178,0.6,124,-10.6581217056536
10,7,-178,0.6,126,-10.4577891806008
10,7,-178,0.6,128,-9.07945064997999
10,7,-178,0.6,130,-8.23710375017354
10,7,-178,0.6,132,-8.52358040889613
10,7,-178,0.6,134,-8.76230041015036
10,7,-178,0.6,136,-7.81049154746153
10,7,-178,0.6,138,-7.14440257680188
10,7,-178,0.6,140,-7.78197290706356
10,7,-178,0.6,142,-8.49114864901296
10,7,-178,0.6,144,-7.51381161671933
10,7,-178,0.6,146,-6.22180574714925
10,7,-178,0.6,148,-6.13368158654644
10,7,-178,0.6,150,-6.83694087959713
10,7,-178,0.6,152,-6.68267353062396
10,7,-178,0.6,154,-5.84512605721611
10,7,-178,0.6,156,-5.48922238225281
10,7,-178,0.6,158,-5.59664884093041
10,7,-178,0.6,160,-5.39304271633898
10,7,-178,0.6,162,-4.78217089039511
10,7,-178,0.6,164,-4.40241729353495
10,7,-178,0.6,166,-4.36474798123191
10,7,-178,0.6,168,-3.80646297973802
10,7,-178,0.6,170,-3.167176088723
10,7,-178,0.6,172,-2.66629788189201
