"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","GainTotal []"
10,7,90,0.6,0,0.230763556206448
10,7,90,0.6,2,0.573577792660628
10,7,90,0.6,4,1.11130206829455
10,7,90,0.6,6,1.1004474381406
10,7,90,0.6,8,0.562048390786484
10,7,90,0.6,10,0.241301872931711
10,7,90,0.6,12,0.45205826627872
10,7,90,0.6,14,0.704303672835876
10,7,90,0.6,16,0.605219169134246
10,7,90,0.6,18,0.397334438492878
10,7,90,0.6,20,0.366603669244183
10,7,90,0.6,22,0.390931415886019
10,7,90,0.6,24,0.345422276251136
10,7,90,0.6,26,0.36168196902819
10,7,90,0.6,28,0.454343845851019
10,7,90,0.6,30,0.413646854494544
10,7,90,0.6,32,0.235630041969213
10,7,90,0.6,34,0.189749645102096
10,7,90,0.6,36,0.33575986214778
10,7,90,0.6,38,0.401184864816455
10,7,90,0.6,40,0.26373242508325
10,7,90,0.6,42,0.159881014458771
10,7,90,0.6,44,0.247101089913659
10,7,90,0.6,46,0.33272465265725
10,7,90,0.6,48,0.260393961226115
10,7,90,0.6,50,0.194493955352408
10,7,90,0.6,52,0.253383662009271
10,7,90,0.6,54,0.257944096268721
10,7,90,0.6,56,0.142798068617509
10,7,90,0.6,58,0.16409662702036
10,7,90,0.6,60,0.369521580595836
10,7,90,0.6,62,0.389828742345998
10,7,90,0.6,64,0.142455656482739
10,7,90,0.6,66,0.13061518442928
10,7,90,0.6,68,0.529299500269968
10,7,90,0.6,70,0.66482802000332
10,7,90,0.6,72,0.197693953847259
10,7,90,0.6,74,0.110886522538052
10,7,90,0.6,76,1.18743071258249
10,7,90,0.6,78,2.02098730633773
10,7,90,0.6,80,0.871856776675235
10,7,90,0.6,82,0.253684828087227
10,7,90,0.6,84,6.89745285742493
10,7,90,0.6,86,23.9636067131329
10,7,90,0.6,88,43.9441847473968
10,7,90,0.6,90,52.9581656802384
10,7,90,0.6,92,43.9441847473969
10,7,90,0.6,94,23.9636067131327
10,7,90,0.6,96,6.89745285742482
10,7,90,0.6,98,0.253684828087226
10,7,90,0.6,100,0.871856776675252
10,7,90,0.6,102,2.02098730633774
10,7,90,0.6,104,1.18743071258246
10,7,90,0.6,106,0.110886522538044
10,7,90,0.6,108,0.197693953847241
10,7,90,0.6,110,0.664828020003302
10,7,90,0.6,112,0.529299500269979
10,7,90,0.6,114,0.130615184429282
10,7,90,0.6,116,0.142455656482741
10,7,90,0.6,118,0.38982874234601
10,7,90,0.6,120,0.369521580595851
