Num. de Lamb ,Rel. D1/D2,3dB bandwidth,Dir Plan H dB,Side Lobe Level
9.0,1.0,5.599999999999994,18.8393545106195,13.571098164025232
9.0,1.1,5.800000000000011,18.872479737016498,14.013661577193208
9.0,1.2,5.800000000000011,18.8371968346541,13.35408753061084
9.0,1.3,5.599999999999994,18.9779787583089,13.248178205952431
9.0,1.4,5.599999999999994,18.781464635561896,13.161390545881915
9.0,1.5,5.599999999999994,18.859549213632103,13.269363663248694
9.0,1.6,5.599999999999994,18.900792655197,13.548182597326882
9.0,1.7,5.599999999999994,18.8055227239154,12.997950018548938
9.0,1.8,5.599999999999994,18.8777360664147,13.170950011133247
9.0,1.9,5.599999999999994,18.805333430830398,13.186575309870207
9.0,2.0,5.599999999999994,18.7970375108165,13.15446152836302
10.0,0.6,5.199999999999989,18.895075187485602,14.403539213217304
10.0,0.7,5.199999999999989,19.1061704531865,13.878213293456511
10.0,0.8,5.199999999999989,19.2192610665216,14.08301816790459
10.0,0.9,5.199999999999989,19.2932646851607,13.91715444430719
10.0,1.0,5.199999999999989,19.2526214357539,13.560543613213538
10.0,1.1,5.199999999999989,19.3333125409253,13.701852290871937
10.0,1.2,5.199999999999989,19.3748686901856,13.483921454472021
10.0,1.3,5.0,19.308584701164502,13.421853498195793
10.0,1.4,5.199999999999989,19.3514575708475,13.870930041578141
10.0,1.5,5.199999999999989,19.362187464840897,13.558397641334377
10.0,1.6,5.0,19.327995501203002,13.512911519152333
10.0,1.7,5.0,19.3844923489108,13.566668832255992
10.0,1.8,5.199999999999989,19.3574342928952,13.56633014211328
10.0,1.9,5.0,19.2275947261202,13.07459439216412
10.0,2.0,5.0,19.3419498671483,13.377004286626581
11.0,0.6,4.800000000000011,19.2257718217467,14.31894845958045
11.0,0.7,4.599999999999994,19.4989992664096,13.871389122029422
11.0,0.8,4.599999999999994,19.6140997673539,13.827023635885569
11.0,0.9,4.599999999999994,19.6745086651862,13.826909196778468
11.0,1.0,4.599999999999994,19.6967851627015,13.76278442103633
11.0,1.1,4.599999999999994,19.7379169943901,13.892837373740782
11.0,1.2,4.599999999999994,19.6778957960258,13.764224164977461
11.0,1.3,4.599999999999994,19.7776398201586,13.63104260161103
11.0,1.4,4.599999999999994,19.8105329109452,13.547593947479958
11.0,1.5,4.599999999999994,19.737188335316,13.39441978363834
11.0,1.6,4.599999999999994,19.6949758912864,13.355896179561242
11.0,1.7,4.599999999999994,19.7187205050745,13.35332451641271
11.0,1.8,4.599999999999994,19.6042248812597,13.154809279827159
11.0,1.9,4.599999999999994,19.6320486540434,12.77902018828581
11.0,2.0,4.599999999999994,19.6960647047297,13.206512455570032
12.0,0.6,4.400000000000006,19.6492631763333,14.37927639891878
12.0,0.7,4.400000000000006,19.892845395909,14.085258583126809
12.0,0.8,4.199999999999989,20.023996056909898,13.785838341143588
12.0,0.9,4.199999999999989,19.9931267916829,13.640448701080281
12.0,1.0,4.199999999999989,20.042113422437,13.757717676358222
